No,;Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay1;;Delay 2;;Jitter
1;0;;104,22,1,235;192,168,100,98;TCP;54;443  >  56799 [FIN, ACK] Seq=1 Ack=1 Win=67 Len=0;;;0;0,000102;;0,000102;;0,016524;;0,016422
2;0,000102;;192,168,100,98;104,22,1,235;TCP;54;56799  >  443 [ACK] Seq=1 Ack=4294966412 Win=513 Len=0;;;0,000102;0,016626;;0,016524;;0,000208;;0,016316
3;0,016626;;104,22,1,235;192,168,100,98;TCP;939;[TCP Retransmission] 443  >  56799 [PSH, ACK] Seq=4294966412 Ack=1 Win=67 Len=885;;;0,016626;0,016834;;0,000208;;0,000753;;0,000545
4;0,016834;;192,168,100,98;104,22,1,235;TCP;54;56799  >  443 [ACK] Seq=1 Ack=2 Win=510 Len=0;;;0,016834;0,017587;;0,000753;;0,061964;;0,061211
5;0,017587;;192,168,100,98;104,22,1,235;TCP;54;56799  >  443 [FIN, ACK] Seq=1 Ack=2 Win=510 Len=0;;;0,017587;0,079551;;0,061964;;0,050817;;0,011147
6;0,079551;;192,168,100,98;104,22,1,235;TCP;66;56800  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;0,079551;0,130368;;0,050817;;0,000226;;0,050591
7;0,130368;;104,22,1,235;192,168,100,98;TCP;66;443  >  56800 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;0,130368;0,130594;;0,000226;;0,001032;;0,000806
8;0,130594;;192,168,100,98;104,22,1,235;TCP;54;56800  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;0,130594;0,131626;;0,001032;;0,004257;;0,003225
9;0,131626;;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;0,131626;0,135883;;0,004257;;5,00E-05;;0,004207
10;0,135883;;104,22,1,235;192,168,100,98;TCP;54;[TCP Retransmission] 443  >  56799 [FIN, ACK] Seq=1 Ack=1 Win=67 Len=0;;;0,135883;0,135933;;5,00E-05;;0,047034;;0,046984
